N,P,K,temperature,humidity,ph,rainfall,crop,region,season,soil_texture,historical_yield,market_price,estimated_profit,moisture,moisture_category,season_encoded
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Tamil Nadu,Monsoon,Loamy,3.7619291978041147,2731.6973553098906,102764.5204050456,82.00274423,High,2
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Tamil Nadu,Monsoon,Loamy,4.431370927641264,1863.4192292301161,82575.01798418029,80.31964408,High,2
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,Tamil Nadu,Monsoon,Sandy,2.110961256499794,3995.50320482426,84343.52465604774,82.3207629,High,2
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,Tamil Nadu,Monsoon,Loamy,4.938720714847521,4548.956461525546,224660.25507475692,80.15836264,High,2
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,Tamil Nadu,Monsoon,Sandy,2.633345077860199,2484.4091613076116,65423.06636320184,81.60487287,High,2
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,Tamil Nadu,Monsoon,Loamy,2.7771039992197792,4982.802376377158,138377.60406758825,83.37011772,High,2
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,Tamil Nadu,Monsoon,Loamy,4.455289020664065,4586.991540436422,204363.73047985337,82.63941394,High,2
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,Tamil Nadu,Monsoon,Loamy,5.5799746833651,4159.824519809087,232117.15507776086,82.89408619,High,2
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,Tamil Nadu,Monsoon,Loamy,3.561038681559099,4343.857362003617,154686.44093270146,83.53521629999999,High,2
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,Tamil Nadu,Monsoon,Loamy,5.366083526562241,5695.284055401529,305613.69948782737,83.03322691,High,2
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,Tamil Nadu,Monsoon,Clay,2.4018230972621266,1622.6883257863276,38974.10300531212,81.41753846,High,2
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,Tamil Nadu,Monsoon,Sandy,2.9895594311749742,5441.279136066188,162670.27358882286,81.45061596,High,2
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,Tamil Nadu,Monsoon,Clay,2.8943977845077566,2436.9514467982885,70535.06868565938,80.88684822,High,2
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,Tamil Nadu,Kharif,Loamy,4.440032987290492,4186.409581112987,185877.96638450632,82.05687182,High,1
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,Tamil Nadu,Monsoon,Loamy,5.363000155208589,4991.890937515901,267715.11872682127,80.66385045,High,2
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,Tamil Nadu,Monsoon,Loamy,2.36302871755469,2934.2356131791466,69336.83018014018,80.30025587,High,2
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,Tamil Nadu,Monsoon,Loamy,5.784164706672458,4610.3312501224755,266669.15303027537,82.7883708,High,2
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,Tamil Nadu,Monsoon,Loamy,4.422763059038235,6451.664650178226,285341.84084111097,80.41817957,High,2
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,Tamil Nadu,Monsoon,Loamy,4.955878410857059,3418.21970839163,169402.8125638419,80.1923008,High,2
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,Tamil Nadu,Monsoon,Loamy,2.629896643946588,1939.233312873824,50999.83181356293,83.58760316,High,2
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,Tamil Nadu,Kharif,Loamy,4.839290553774575,3306.0292768116587,159988.36249776848,80.47476396,High,1
